Student_ID,Student_Name,Mathematics,Physics,Chemistry,Computer_Science,English,Statistics,Average,Category
S0001,Oscar Wilson,82.5,83.7,94.4,74.0,66.4,88.7,81.62,Above Average
S0002,Bob Lee,80.4,87.8,83.8,79.4,72.6,70.4,79.07,Above Average
S0003,Olivia Baker,45.7,68.0,54.1,51.2,46.6,64.7,55.05,Below Average
S0004,Victor Kim,100,99.0,100,88.1,100,84.9,95.33,Above Average
S0005,Ivan Wilson,82.2,69.3,78.7,71.8,72.8,72.5,74.55,Above Average
S0006,Carol Stewart,64.2,69.8,68.4,66.0,68.4,67.1,67.32,Below Average
S0007,Oscar Richardson,70.2,66.0,70.5,75.0,59.9,60.6,67.03,Below Average
S0008,Vera Garcia,71.4,74.0,78.8,66.6,56.0,63.1,68.32,Below Average
S0009,Carl Murphy,67.7,80.2,74.8,72.8,78.9,88.7,77.18,Above Average
S0010,Uma Harris,58.9,56.7,71.0,58.9,62.8,69.4,62.95,Below Average
S0011,Julia Roberts,81.3,77.2,65.9,76.0,97.9,67.2,77.58,Above Average
S0012,David Howard,80.4,78.8,73.9,63.6,78.9,74.7,75.05,Above Average
S0013,Diana Perez,82.0,83.2,67.6,84.4,82.8,71.9,78.65,Above Average
S0014,Victor Wilson,50.2,56.0,64.3,51.7,47.4,30.5,50.02,Below Average
S0015,Xena Anderson,66.1,55.5,55.4,61.0,66.1,63.0,61.18,Below Average
S0016,Yusuf Gray,76.8,77.0,76.4,78.5,91.9,70.0,78.43,Above Average
S0017,Carl Rivera,73.1,84.5,57.1,78.5,75.3,82.8,75.22,Above Average
S0018,Yusuf Thomas,86.8,87.1,74.6,78.6,86.4,74.5,81.33,Above Average
S0019,Noah Gray,50.0,55.3,59.8,64.8,52.8,44.2,54.48,Below Average
S0020,Henry Garcia,78.6,84.7,72.6,74.4,78.1,80.5,78.15,Above Average
S0021,Oscar Brown,92.7,77.4,73.1,76.3,87.3,76.4,80.53,Above Average
S0022,Irene Ward,70.1,74.3,81.4,64.1,79.6,81.6,75.18,Above Average
S0023,Bella Allen,64.2,58.5,48.2,63.7,59.7,54.1,58.07,Below Average
